id,ibu_category_nbr,srm_category_nbr,abv_category_nbr,attenuation_category_nbr,outcome
64,2,5,1,2,IBU Medium Pale Amber ABV Low Atten Medium
65,3,11,1,2,IBU High Black ABV Low Atten Medium
66,3,11,2,3,IBU High Black ABV Medium Atten High
67,2,4,1,3,IBU Medium Deep Gold ABV Low Atten High
68,3,6,1,2,IBU High Medium Amber ABV Low Atten Medium
69,3,12,2,3,IBU High Amber Brown ABV Medium Atten High
70,3,11,2,2,IBU High Black ABV Medium Atten Medium
71,2,9,1,2,IBU Medium Ruby Brown ABV Low Atten Medium
72,1,4,1,2,IBU Low Deep Gold ABV Low Atten Medium
73,3,11,2,2,IBU High Black ABV Medium Atten Medium
74,3,6,1,2,IBU High Medium Amber ABV Low Atten Medium
75,2,7,1,2,IBU Medium Deep Amber ABV Low Atten Medium
76,3,8,1,2,IBU High Brown ABV Low Atten Medium
77,3,12,1,2,IBU High Amber Brown ABV Low Atten Medium
78,3,11,2,2,IBU High Black ABV Medium Atten Medium
79,3,10,1,2,IBU High Deep Brown ABV Low Atten Medium
80,3,11,2,3,IBU High Black ABV Medium Atten High
81,2,4,1,2,IBU Medium Deep Gold ABV Low Atten Medium
82,3,7,1,3,IBU High Deep Amber ABV Low Atten High
83,3,12,1,3,IBU High Amber Brown ABV Low Atten High
84,1,1,1,3,"IBU Low Pale Lager, Pilsner, Witbier, Berliner Weisse ABV Low Atten High"
85,2,9,1,2,IBU Medium Ruby Brown ABV Low Atten Medium
86,3,12,1,3,IBU High Amber Brown ABV Low Atten High
87,2,7,1,2,IBU Medium Deep Amber ABV Low Atten Medium
88,3,12,1,2,IBU High Amber Brown ABV Low Atten Medium
89,3,12,1,3,IBU High Amber Brown ABV Low Atten High
90,3,11,2,2,IBU High Black ABV Medium Atten Medium
91,2,7,1,2,IBU Medium Deep Amber ABV Low Atten Medium
92,3,11,2,2,IBU High Black ABV Medium Atten Medium
93,3,4,1,3,IBU High Deep Gold ABV Low Atten High
94,3,5,2,3,IBU High Pale Amber ABV Medium Atten High
95,3,6,1,2,IBU High Medium Amber ABV Low Atten Medium
