id,ibu,srm,abv,attenuation_level,outcome
314,20,6,6,82,IBU Low Deep Gold ABV Low Atten High
315,45,61,7.2,77,IBU High Black ABV Low Atten Medium
316,34,11,6.4,77,IBU Medium Deep Amber ABV Low Atten Medium
317,65,18,9,79,IBU High Brown ABV Medium Atten Medium
318,40,6,5,85,IBU High Deep Gold ABV Low Atten High
319,28,28,5.5,83,IBU Medium Deep Brown ABV Low Atten High
320,20,10,7.4,86,IBU Low Medium Amber ABV Low Atten High
321,35,7,4.7,81,IBU Medium Pale Amber ABV Low Atten Medium
322,65,9,6.9,87,IBU High Medium Amber ABV Low Atten High
323,25,7,5,84,IBU Medium Pale Amber ABV Low Atten High
324,32,6,5.6,83,IBU Medium Deep Gold ABV Low Atten High
325,37,3,5,86,IBU Medium Straw ABV Low Atten High
